species,phylum,group,common_name_division_bgr,feeding,foliose_morphology_growth_form,filamentous_morphology_growth_form,crustose_morphology_growth_form,globular_morphology_growth_form,leathery_external_morphology,articulated_external_morphology,branched_external_morphology,space_use_canopy,space_use_sub_canopy,space_use_turf,epibiotic_env_position,solitary_colonial,adult_body_size_bin,adult_motility
Schizoporella unicornis,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Sedentary Polychaete,Annelida,Invertebrate,Annelid worm,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC1,sessile
Semibalanus balanoides,Arthropoda,Invertebrate,Barnacle,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC1,sessile
Small worm,Mixed,Invertebrate,Small worm,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC1,motile
Spirorbis,Annelida,Invertebrate,Annelid worm,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC1,sessile
Stenosemus albus,Mollusca,Invertebrate,Chiton,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC1,motile
Strongylocentrotus droebachiensis,Echinodermata,Invertebrate,Echinoderm,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,motile
Testudinalia testudinalis,Mollusca,Invertebrate,Gastropod,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC2,sessile
Thylacodes,Mollusca,Invertebrate,Gastropod,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC2,sessile
Tricellaria inopinata,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Tunicate,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
Urticina felina,Cnidaria,Invertebrate,Anemone,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC2,sessile
