"","Agarum clathratum","Alaria esculenta","Ascophyllum nodosum","Colpomenia peregrina","Desmarestia aculeata","Desmarestia viridis","Elachista fucicola","Halosiphon tomentosus","Laminaria digitata","Saccharina latissima","Saccorhiza dermatodea","Codium fragile","Prasiola stipitata","Ulva lactuca","Bonnemaisonia hamifera","Ceramium","Chondrus crispus","Clathromorphum circumscriptum","Coccotylus truncatus","Corallina officinalis","Cystoclonium purpureum","Dasysiphonia japonica","Dumontia contorta","Euthora cristata","Hildenbrandia rubra","Leptophytum acervatum","Lithophyllum ","Lithothamnion","Mastocarpus stellatus","Palmaria palmata","Phycodrys rubens","Phymatolithon lenormandii","Polyides rotunda","Polysiphonia","Porphyra","Ptilota serrata","Spermothamnion repens","Titanoderma"
"Cystoclonium purpureum",0.88601108033241,0.90893351800554,0.825692520775623,0.88898891966759,0.578324099722992,0.578324099722992,0.933518005540166,0.75595567867036,0.872229916897507,0.88898891966759,0.819529085872576,0.689473684210526,0.844113573407202,0.913573407202216,0.82887811634349,0.895360110803324,0.534972299168975,0.759418282548477,0.82590027700831,0.853462603878116,0,0.742659279778393,0.690858725761773,0.604432132963989,0.759418282548477,0.895360110803324,0.82590027700831,0.82590027700831,0.534972299168975,0.69882271468144,0.69584487534626,0.853462603878116,0.731509695290859,0.82887811634349,0.676177285318559,0.534972299168975,0.895360110803324,0.82590027700831
"Dasysiphonia japonica",0.837257617728532,0.975415512465374,0.892174515235457,0.805470914127424,0.754016620498615,0.754016620498615,0.762396121883657,0.749653739612188,0.823476454293629,0.955470914127424,0.88601108033241,0.88601108033241,0.760595567867036,0.83005540166205,0.657756232686981,0.759002770083102,0.82590027700831,0.67590027700831,0.627146814404432,0.76994459833795,0.742659279778393,0,0.866551246537396,0.895360110803324,0.67590027700831,0.696606648199446,0.627146814404432,0.627146814404432,0.82590027700831,0.895360110803324,0.777146814404432,0.76994459833795,0.627146814404432,0.657756232686981,0.592659279778393,0.82590027700831,0.609002770083102,0.627146814404432
"Dumontia contorta",0.926662049861496,0.90713296398892,0.90713296398892,0.925969529085873,0.702216066481994,0.702216066481994,0.931717451523546,0.796606648199446,0.877216066481994,0.925969529085873,0.975415512465374,0.845360110803324,1,0.950554016620499,0.865858725761773,0.817105263157895,0.600831024930748,0.915304709141274,0.776523545706371,0.800415512465374,0.690858725761773,0.866551246537396,0,0.641412742382271,0.825277008310249,0.72707756232687,0.776523545706371,0.776523545706371,0.600831024930748,0.735803324099723,0.646468144044321,0.800415512465374,0.68213296398892,0.865858725761773,0.915304709141274,0.690858725761773,0.817105263157895,0.866551246537396
"Euthora cristata",0.955470914127424,0.859487534626039,0.859487534626039,0.75803324099723,0.731024930747922,0.731024930747922,0.802562326869806,0.825415512465374,0.906024930747922,0.839542936288089,0.88898891966759,0.75893351800554,0.832063711911357,0.864127423822715,0.779432132963989,0.845914127423823,0.604432132963989,0.82887811634349,0.895360110803324,0.804016620498615,0.604432132963989,0.895360110803324,0.641412742382271,0,0.82887811634349,0.845914127423823,0.895360110803324,0.895360110803324,0.604432132963989,0.649376731301939,0.765304709141274,0.804016620498615,0.800969529085873,0.779432132963989,0.82887811634349,0.604432132963989,0.764404432132964,0.895360110803324
"Hildenbrandia rubra",0.88601108033241,0.90893351800554,0.90893351800554,0.73898891966759,0.88601108033241,0.88601108033241,0.783518005540166,0.88601108033241,0.955470914127424,0.88898891966759,0.819529085872576,0.819529085872576,0.694113573407202,0.763573407202216,0.67887811634349,0.895360110803324,0.669390581717451,0.521814404432133,0.585872576177285,0.613434903047091,0.759418282548477,0.67590027700831,0.825277008310249,0.82887811634349,0,0.567728531855956,0.498268698060942,0.498268698060942,0.669390581717451,0.82887811634349,0.735872576177285,0.525831024930748,0.585872576177285,0.67887811634349,0.609418282548476,0.759418282548477,0.745360110803324,0.588296398891967
"Leptophytum acervatum",0.906717451523546,0.925969529085873,0.925969529085873,0.756024930747922,0.906717451523546,0.906717451523546,0.800554016620499,0.906717451523546,0.857271468144044,0.906024930747922,0.955470914127424,0.955470914127424,0.83005540166205,0.780609418282548,0.695914127423823,0.797160664819945,0.805332409972299,0.657756232686981,0.606578947368421,0.630470914127424,0.895360110803324,0.696606648199446,0.72707756232687,0.845914127423823,0.567728531855956,0,0.518975069252078,0.518975069252078,0.805332409972299,0.845914127423823,0.756578947368421,0.54286703601108,0.606578947368421,0.695914127423823,0.745360110803324,0.895360110803324,0.647160664819945,0.609002770083102
"Lithophyllum ",0.837257617728532,0.975415512465374,0.975415512465374,0.805470914127424,0.837257617728532,0.837257617728532,0.85,0.837257617728532,0.906717451523546,0.955470914127424,0.88601108033241,0.88601108033241,0.760595567867036,0.83005540166205,0.745360110803324,0.846606648199446,0.735872576177285,0.588296398891967,0.537119113573407,0.679916897506925,0.82590027700831,0.627146814404432,0.776523545706371,0.895360110803324,0.498268698060942,0.518975069252078,0,0.449515235457064,0.735872576177285,0.895360110803324,0.687119113573407,0.592313019390582,0.537119113573407,0.745360110803324,0.67590027700831,0.82590027700831,0.696606648199446,0.539542936288089
"Lithothamnion",0.837257617728532,0.975415512465374,0.975415512465374,0.805470914127424,0.837257617728532,0.837257617728532,0.85,0.837257617728532,0.906717451523546,0.955470914127424,0.88601108033241,0.88601108033241,0.760595567867036,0.83005540166205,0.745360110803324,0.846606648199446,0.735872576177285,0.588296398891967,0.537119113573407,0.679916897506925,0.82590027700831,0.627146814404432,0.776523545706371,0.895360110803324,0.498268698060942,0.518975069252078,0.449515235457064,0,0.735872576177285,0.895360110803324,0.687119113573407,0.592313019390582,0.537119113573407,0.745360110803324,0.67590027700831,0.82590027700831,0.696606648199446,0.539542936288089
"Mastocarpus stellatus",0.88601108033241,0.90893351800554,0.90893351800554,0.88898891966759,0.661565096952909,0.661565096952909,0.933518005540166,0.75595567867036,0.955470914127424,0.88898891966759,0.819529085872576,0.689473684210526,0.844113573407202,0.913573407202216,0.82887811634349,0.895360110803324,0.44494459833795,0.759418282548477,0.735872576177285,0.763434903047091,0.534972299168975,0.82590027700831,0.600831024930748,0.604432132963989,0.669390581717451,0.805332409972299,0.735872576177285,0.735872576177285,0,0.69882271468144,0.605817174515235,0.763434903047091,0.641481994459834,0.82887811634349,0.759418282548477,0.534972299168975,0.895360110803324,0.82590027700831
"Palmaria palmata",0.955470914127424,0.859487534626039,0.859487534626039,0.756648199445983,0.825415512465374,0.825415512465374,0.884072022160665,0.825415512465374,0.906024930747922,0.839542936288089,0.88898891966759,0.592797783933518,0.913573407202216,0.780886426592798,0.696191135734072,0.762673130193906,0.69882271468144,0.82887811634349,0.812465373961219,0.804016620498615,0.69882271468144,0.895360110803324,0.735803324099723,0.649376731301939,0.82887811634349,0.845914127423823,0.895360110803324,0.895360110803324,0.69882271468144,0,0.765304709141274,0.804016620498615,0.895360110803324,0.696191135734072,0.82887811634349,0.615581717451523,0.845914127423823,0.895360110803324
"Phycodrys rubens",0.837257617728532,0.975415512465374,0.975415512465374,0.955470914127424,0.707202216066482,0.707202216066482,1,0.707202216066482,0.906717451523546,0.955470914127424,0.88601108033241,0.75595567867036,0.827700831024931,0.897160664819945,0.895360110803324,0.846606648199446,0.605817174515235,0.82590027700831,0.687119113573407,0.829916897506925,0.69584487534626,0.777146814404432,0.646468144044321,0.765304709141274,0.735872576177285,0.756578947368421,0.687119113573407,0.687119113573407,0.605817174515235,0.765304709141274,0,0.829916897506925,0.687119113573407,0.895360110803324,0.743005540166205,0.69584487534626,0.846606648199446,0.777146814404432
"Phymatolithon lenormandii",0.98005540166205,0.884072022160665,0.884072022160665,0.714127423822715,0.98005540166205,0.98005540166205,0.711218836565097,0.98005540166205,0.930609418282549,0.864127423822715,0.913573407202216,0.913573407202216,0.740720221606648,0.691274238227147,0.654016620498615,0.870498614958449,0.763434903047091,0.615858725761773,0.679916897506925,0.541135734072022,0.853462603878116,0.76994459833795,0.800415512465374,0.804016620498615,0.525831024930748,0.54286703601108,0.592313019390582,0.592313019390582,0.763434903047091,0.804016620498615,0.829916897506925,0,0.679916897506925,0.654016620498615,0.703462603878116,0.853462603878116,0.720498614958449,0.682340720221607
"Polyides rotunda",0.837257617728532,0.975415512465374,0.975415512465374,0.805470914127424,0.74286703601108,0.74286703601108,0.85,0.837257617728532,0.906717451523546,0.955470914127424,0.88601108033241,0.88601108033241,0.760595567867036,0.83005540166205,0.745360110803324,0.846606648199446,0.641481994459834,0.67590027700831,0.537119113573407,0.679916897506925,0.731509695290859,0.627146814404432,0.68213296398892,0.800969529085873,0.585872576177285,0.606578947368421,0.537119113573407,0.537119113573407,0.641481994459834,0.895360110803324,0.687119113573407,0.679916897506925,0,0.745360110803324,0.67590027700831,0.731509695290859,0.696606648199446,0.627146814404432
"Polysiphonia",0.955470914127424,0.859487534626039,0.859487534626039,0.689542936288089,0.955470914127424,0.955470914127424,0.646468144044321,0.86786703601108,0.906024930747922,0.839542936288089,0.88898891966759,0.805747922437673,0.763573407202216,0.630886426592798,0.458587257617729,0.675069252077562,0.82887811634349,0.67887811634349,0.745360110803324,0.654016620498615,0.82887811634349,0.657756232686981,0.865858725761773,0.779432132963989,0.67887811634349,0.695914127423823,0.745360110803324,0.745360110803324,0.82887811634349,0.696191135734072,0.895360110803324,0.654016620498615,0.745360110803324,0,0.67887811634349,0.745637119113573,0.608310249307479,0.745360110803324
"Porphyra",0.88601108033241,0.90893351800554,0.825692520775623,0.73898891966759,0.802770083102493,0.802770083102493,0.783518005540166,0.88601108033241,0.872229916897507,0.88898891966759,0.819529085872576,0.819529085872576,0.611218836565097,0.680678670360111,0.67887811634349,0.895360110803324,0.759418282548477,0.609418282548476,0.67590027700831,0.703462603878116,0.676177285318559,0.592659279778393,0.915304709141274,0.82887811634349,0.609418282548476,0.745360110803324,0.67590027700831,0.67590027700831,0.759418282548477,0.82887811634349,0.743005540166205,0.703462603878116,0.67590027700831,0.67887811634349,0,0.759418282548477,0.745360110803324,0.67590027700831
"Ptilota serrata",0.88601108033241,0.90893351800554,0.90893351800554,0.88898891966759,0.661565096952909,0.661565096952909,0.933518005540166,0.75595567867036,0.955470914127424,0.88898891966759,0.819529085872576,0.606232686980609,0.844113573407202,0.830332409972299,0.745637119113573,0.812119113573407,0.534972299168975,0.759418282548477,0.82590027700831,0.853462603878116,0.534972299168975,0.82590027700831,0.690858725761773,0.604432132963989,0.759418282548477,0.895360110803324,0.82590027700831,0.82590027700831,0.534972299168975,0.615581717451523,0.69584487534626,0.853462603878116,0.731509695290859,0.745637119113573,0.759418282548477,0,0.895360110803324,0.82590027700831
"Spermothamnion repens",0.906717451523546,0.925969529085873,0.925969529085873,0.674515235457064,0.906717451523546,0.906717451523546,0.631440443213296,0.819113573407202,0.857271468144044,0.906024930747922,0.955470914127424,0.955470914127424,0.748545706371191,0.780609418282548,0.608310249307479,0.709556786703601,0.895360110803324,0.745360110803324,0.696606648199446,0.720498614958449,0.895360110803324,0.609002770083102,0.817105263157895,0.764404432132964,0.745360110803324,0.647160664819945,0.696606648199446,0.696606648199446,0.895360110803324,0.845914127423823,0.846606648199446,0.720498614958449,0.696606648199446,0.608310249307479,0.745360110803324,0.895360110803324,0,0.696606648199446
"Titanoderma",0.837257617728532,0.975415512465374,0.975415512465374,0.805470914127424,0.837257617728532,0.837257617728532,0.85,0.837257617728532,0.906717451523546,0.955470914127424,0.88601108033241,0.88601108033241,0.760595567867036,0.83005540166205,0.745360110803324,0.846606648199446,0.82590027700831,0.588296398891967,0.627146814404432,0.76994459833795,0.82590027700831,0.627146814404432,0.866551246537396,0.895360110803324,0.588296398891967,0.609002770083102,0.539542936288089,0.539542936288089,0.82590027700831,0.895360110803324,0.777146814404432,0.682340720221607,0.627146814404432,0.745360110803324,0.67590027700831,0.82590027700831,0.696606648199446,0
