binomial,id,1911,1959,1994,2016,weight,TotalCulmen,BillWidth,WingLength,TailLength,Tarsus,HWI,Hab_breadth,Gen_length,Historical Abundance,Current Abundance,POP,IUCN,Data_Source,Functional_Uniqueness,Functional_Distinctiveness,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9
Turdus ignobilis,145,1,1,1,1,66.70,23.52,7.10,117.14,87.79,32.67,18.69,10,7.5,0.6,0.6,C,LC,MontoyaEtAl2018,0.066627823,0.163788384,1.398387688,-0.604864838,-1.666003315,0.761965412,0.998907814,-0.128341169,-0.407396253,0.028196952,0.40345587
Turdus serranus,146,1,1,1,1,78.66,25.78,5.98,118.98,100.07,32.39,16.10,1,7.7,0.8,0.4,C,LC,MontoyaEtAl2018,0.049654194,0.152137538,1.229059475,0.716511454,1.316883984,0.217679084,0.567854829,-0.439402501,-0.564651475,0.199160112,0.446602563
Chlorophanes spiza,147,1,1,1,1,19.57,14.98,4.79,69.71,50.55,21.05,15.90,4,3.7,0.6,0.6,C,LC,Medidas ICN-Mahecha,0.019216467,0.097062678,-1.118863988,0.470632504,-0.109502261,0.21236223,0.093804733,0.144360124,0.047765496,-0.073191986,-0.029130641
Diglossa albilatera,148,1,1,1,1,10.67,12.74,2.86,57.69,48.49,19.28,18.78,5,3.7,0.8,0.6,C,LC,MontoyaEtAl2018,0.015018337,0.106349831,-1.611408898,0.054046441,-0.357836031,0.37404324,0.108222608,0.151628898,-0.315706788,-0.044448858,-0.059038643
Diglossa sittoides,149,1,1,1,1,8.50,12.08,2.93,53.62,49.54,18.65,18.13,6,3.7,0.8,0.4,C,LC,MontoyaEtAl2018,0.015018337,0.112623555,-1.692259242,-0.069650648,-0.725513172,0.410059709,0.133491772,0.098885771,-0.414175816,-0.092782764,-0.110188721
Diglossa cyanea,150,1,1,1,1,16.67,17.33,3.46,71.85,58.46,21.44,16.66,3,3.7,0.6,0.6,C,LC,MontoyaEtAl2018,0.018022475,0.098586076,-1.172826977,0.518256653,0.271853486,0.192349193,-0.087242346,0.203653594,-0.241130977,0.088366967,-0.024619382
Volatinia jacarina,151,1,1,1,1,9.74,10.46,4.74,46.94,43.66,18.42,7.68,7,3.8,0.6,0.6,C,LC,Medidas ICN-Mahecha,0.014179914,0.122748517,-1.605097765,0.39139826,-1.313898596,0.421952773,0.428795224,-0.11387223,-0.235575462,-0.189393131,-0.131062588
Creurgops verticalis,152,1,,,1,24.00,16.44,6.59,76.94,61.97,19.59,18.49,1,3.7,0.8,0.2,C,LC,AMNH,0.016627151,0.108289722,-0.875794049,0.814885159,0.851395666,-0.230331147,-0.220576948,-0.109851632,0.275359362,-0.20863153,-0.084917017
Tachyphonus rufus,153,1,1,1,1,34.40,20.90,7.18,83.90,81.50,23.80,13.63,7,3.5,0.6,0.6,C,LC,Medidas ICN-Mahecha,0.019047625,0.1147283,-0.156463228,0.377956991,-1.241197469,0.252801984,-0.274091401,0.180098222,0.139131975,-0.110567314,0.094302394
Ramphocelus flammigerus,154,1,1,1,1,33.00,19.34,7.90,92.39,79.09,21.79,15.92,5,3.7,0.6,0.6,C,LC,Medidas ICN,0.024333254,0.105271668,-0.188942147,0.488019286,-0.542048532,0.035905419,-0.287777608,-0.044475507,0.303152776,-0.157828849,-0.063650971
