species,phylum,group,common_name_division,solitary_colonial,body_size_lower_cm,adult_body_size_upper_cm,adult_body_size_bin,calcareous,herbivore,predator,omnivore,deposit_feeder,filter_suspension,scavenger,trophic_level,motility_adult,habitat_type,benthic,pelagic,epibiotic,intertidal,subtidal,notes,Source,synonym,dietary_pref
Aplidium pallidum,Tunicata,Invertebrate,Tunicate,colonial,2,40,SC3,no,no,no,no,no,yes,no,primary consumer,sessile,benthic,yes,no,no,no,yes,colonial,worms,,filter feeder
Boltenia echinata,Tunicata,Invertebrate,Tunicate,solitary,,2,SC1,no,no,no,no,no,yes,no,primary consumer,sessile,epilithic,yes,no,yes,no,yes,,MARLIN,,filter feeder
Boltenia ovifera,Tunicata,Invertebrate,Tunicate,gregarious,,8,SC2,no,no,no,no,no,yes,no,primary consumer,sessile,benthic,yes,no,yes,no,yes,,worms/sealifebase,,filter feeder
Botrylloides violaceus,Tunicata,Invertebrate,Tunicate,colonial,,20,SC2,no,no,no,no,no,yes,no,primary consumer,sessile,"epibenthic, epiphytic, epifaunal",yes,no,yes,no,yes,,sealifebase,,filter feeder
Botryllus schlosseri,Tunicata,Invertebrate,Tunicate,colonial,11,20,SC2,no,no,no,no,no,yes,no,primary consumer,sessile,epifaunal/epilithic,yes,no,yes,yes,yes,,,,suspension feeder
Ciona intestinalis,Tunicata,Invertebrate,Tunicate,gregarious,2,15,SC2,no,no,no,no,no,yes,no,primary consumer,sessile,"epilithic, epifloral",yes,no,yes,no,yes,low wave exposure,MARLIN,,filter feeder
Ciona savignyi,Tunicata,Invertebrate,Tunicate,gregarious,11,20,SC2,no,no,no,no,no,yes,no,primary consumer,sessile,epifaunal,no,no,yes,no,yes,,BIOTIC/marlin,,suspension feeder
Dendrodoa carnea,Tunicata,Invertebrate,Tunicate,gregarious,,20,SC2,no,no,no,no,no,yes,no,primary consumer,sessile,epilithic ,yes,no,yes,no,yes,,"WoRMS,",Dendrodoa,filter feeder
Didemnum albidum,Tunicata,Invertebrate,Tunicate,colonial,1,2,SC1,no,no,no,no,no,yes,no,primary consumer,sessile,benthic,yes,no,yes,no,yes,,,,filter feeder
Didemnum vexillum,Tunicata,Invertebrate,Tunicate,colonial,1,2,SC1,no,no,no,no,no,yes,no,primary consumer,sessile,"epibenthic, epiphytic, epifaunal",yes,no,yes,yes,yes,,,,filter feeder?
Diplosoma listerianum,Tunicata,Invertebrate,Tunicate,colonial,0,1,SC1,no,no,no,no,no,yes,no,primary consumer,sessile,epilithic/epiphytic,yes,no,yes,no,yes,,,,suspension feeder
