"year","name"
2000,"Hildenbrandia rubra"
2001,"Hildenbrandia rubra"
2002,"Hildenbrandia rubra"
2003,"Hildenbrandia rubra"
2004,"Hildenbrandia rubra"
2005,"Hildenbrandia rubra"
2006,"Hildenbrandia rubra"
2009,"Hildenbrandia rubra"
2010,"Hildenbrandia rubra"
2011,"Hildenbrandia rubra"
2012,"Hildenbrandia rubra"
2013,"Hildenbrandia rubra"
2014,"Hildenbrandia rubra"
2015,"Hildenbrandia rubra"
2016,"Hildenbrandia rubra"
2017,"Hildenbrandia rubra"
1983,"Hippothoa hyalina"
2016,"Idotea balthica"
2017,"Idotea balthica"
1984,"Idotea baltica"
1992,"Idotea baltica"
1998,"Idotea baltica"
2009,"Idotea baltica"
2010,"Idotea baltica"
2012,"Idotea baltica"
2014,"Idotea baltica"
2015,"Idotea baltica"
1982,"Isopods"
1983,"Isopods"
1984,"Isopods"
1985,"Isopods"
1986,"Isopods"
1987,"Isopods"
1988,"Isopods"
1989,"Isopods"
1990,"Isopods"
1991,"Isopods"
1992,"Isopods"
1993,"Isopods"
1994,"Isopods"
1995,"Isopods"
1996,"Isopods"
1997,"Isopods"
1998,"Isopods"
1999,"Isopods"
