"","Cryptosula pallasiana","Semibalanus balanoides","Mytilus edulis","Modiolus modiolus","Halichondria panicea","Metridium dianthus","Anomia simplex","Testudinalia testudinalis","Amphipoda","Annelida","Asterias forbesi","Asterias rubens","Cancer borealis","Cancer irroratus","Carcinus maenus","Small worm","Hiatella arctica","Isopoda","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Nudibranchia","Ophiopholis aculeata","Pagurus acadianus","Spirorbis","Strongylocentrotus droebachiensis","Boreochiton ruber","Gaidropsarus","Gastropoda","Sedentary Polychaete","Celleporella hyalina","Aplidium pallidum","Mya arenaria","Dendrodoa carnea","Crepidula fornicata"
"Littorina obtusata",0.82772377366972,0.61808169916278,0.82772377366972,0.82772377366972,0.88694723829859,0.839242568972299,0.692981963252234,0.781704781704782,0.685396415126145,0.799910097207394,0.86469629712873,0.86469629712873,0.86469629712873,0.86469629712873,0.769961229420689,0.824240040456257,0.761813788840816,0.612069449907288,0.493566331404169,0.504804180479856,0,0.608529527448446,0.60695622857785,0.711805360454009,0.891049053211215,0.798786312299826,0.686913524751363,0.702253188739675,0.659774119233579,0.943754565376187,0.561049615103669,0.791762656627522,0.82772377366972,0.931505309883688,0.872281845254818,0.818115412710007,0.759453840534922
"Littorina saxatilis",0.788672248131708,0.806371860425914,0.849356633140417,0.849356633140417,0.908580097769287,0.800191043434287,0.783446648311513,0.74265325616677,0.775861100185425,0.778389616227454,0.713659605551497,0.774343990560207,0.713659605551497,0.713659605551497,0.730909703882677,0.733887733887734,0.722762263302804,0.590548968927347,0.681856492667304,0.563578131145699,0.608529527448446,0,0.665730179243693,0.802270045513289,0.800696746642693,0.647749620722594,0.806371860425914,0.663201663201663,0.750238804292858,0.853402258807664,0.651514300162949,0.882227341686801,0.788672248131708,0.780468618306456,0.721245153677586,0.908580097769287,0.72040231499691
"Nucella lapillus",0.811597460246109,0.731471596336461,0.872281845254818,0.872281845254818,0.931505309883688,0.634826094285554,0.806371860425914,0.765578468281171,0.685396415126145,0.913299994381075,0.660279822441985,0.720964207450694,0.735180086531438,0.735180086531438,0.640445018823397,0.897567005675114,0.745687475417205,0.798786312299826,0.60695622857785,0.562004832275103,0.60695622857785,0.665730179243693,0,0.636905096364556,0.822217227622633,0.669270101702534,0.731471596336461,0.759453840534922,0.846490981626117,0.800022475698151,0.747766477496207,0.905152553801203,0.811597460246109,0.915378996460078,0.856155531831208,0.931505309883688,0.743327527111311
"Nudibranchia",0.835028375568916,0.83632072821262,0.835028375568916,0.835028375568916,0.789009383603978,0.666123503961342,0.813395516098219,0.789009383603978,0.692420070798449,0.701972242512783,0.683710737764792,0.683710737764792,0.758611001854245,0.758611001854245,0.776984885092993,0.755071079395404,0.882227341686801,0.80580996797213,0.711805360454009,0.796370174748553,0.711805360454009,0.802270045513289,0.636905096364556,0,0.784963757936731,0.80580996797213,0.905152553801203,0.782884755857729,0.740405686351632,0.657526549418441,0.641681182221723,0.69382480193291,0.835028375568916,0.833567455189077,0.879586447154015,0.720177558015396,0.766758442434118
"Ophiopholis aculeata",0.873068494690116,0.943192672922403,0.797044445693094,0.797044445693094,0.755745350339945,0.884306343765803,0.920267460808001,0.798898690790583,0.799292015508232,0.802101477777153,0.684665954936225,0.684665954936225,0.684665954936225,0.684665954936225,0.815025004214193,0.786368489071192,0.920267460808001,0.800696746642693,0.891049053211215,0.906782041917177,0.891049053211215,0.800696746642693,0.822217227622633,0.784963757936731,0,0.655166601112547,0.943192672922403,0.744226555037366,0.746755071079395,0.663201663201663,0.820924874978929,0.905939203236501,0.873068494690116,0.764342304882845,0.805641400235995,0.831769399336967,0.877170309602742
"Pagurus acadianus",0.833230319716806,0.850929932011013,0.893914704725516,0.893914704725516,0.953138169354386,0.731359217845704,0.828004719896612,0.859583075799292,0.632129010507389,0.822947687812553,0.644827779962915,0.705512164971625,0.569927515873462,0.569927515873462,0.587177614204641,0.807214699106591,0.767320334887902,0.63353374164185,0.798786312299826,0.753834915997078,0.798786312299826,0.647749620722594,0.669270101702534,0.80580996797213,0.655166601112547,0,0.850929932011013,0.781086700005619,0.868123841096814,0.784570433219082,0.841771085014328,0.9267854132719,0.833230319716806,0.825026689891555,0.765803225262685,0.953138169354386,0.837332134629432
"Spirorbis",0.706467382143058,0.565657133224701,0.706467382143058,0.706467382143058,0.765690846771928,0.776703938866101,0.640557397314154,0.732820138225544,0.74765409900545,0.785750407372029,0.916839916839917,0.916839916839917,0.916839916839917,0.916839916839917,0.822104849131876,0.949710625386301,0.640557397314154,0.806371860425914,0.628195763330899,0.702646513457324,0.686913524751363,0.806371860425914,0.731471596336461,0.905152553801203,0.943192672922403,0.850929932011013,0,0.82772377366972,0.854076529752205,0.995898185087374,0.82772377366972,0.662920716974771,0.706467382143058,0.810248918357027,0.751025453728156,0.765690846771928,0.710569197055684
"Strongylocentrotus droebachiensis",0.696915210428724,0.82772377366972,0.757599595437433,0.757599595437433,0.816823060066303,0.821542956678092,0.804798561555318,0.72326796651121,0.79721301342923,0.798617744563691,0.733887733887734,0.794572118896443,0.733887733887734,0.733887733887734,0.752261617126482,0.75411586222397,0.744114176546609,0.723886048210373,0.775580153958532,0.657301792436928,0.702253188739675,0.663201663201663,0.759453840534922,0.782884755857729,0.744226555037366,0.781086700005619,0.82772377366972,0,0.658481766589875,0.873630387143901,0.632129010507389,0.790470303983817,0.696915210428724,0.800696746642693,0.741473282013823,0.816823060066303,0.70101702534135
"Boreochiton ruber",0.783952351519919,0.785244704163623,0.783952351519919,0.783952351519919,0.74265325616677,0.908580097769287,0.762319492049222,0.709782547620385,0.754733943923133,0.756138675057594,0.820924874978929,0.820924874978929,0.820924874978929,0.820924874978929,0.839298758217677,0.780468618306456,0.831151317637804,0.681406978704276,0.733101084452436,0.744338933528123,0.659774119233579,0.750238804292858,0.846490981626117,0.740405686351632,0.746755071079395,0.868123841096814,0.854076529752205,0.658481766589875,0,0.799460583244367,0.589649941001292,0.747991234477721,0.783952351519919,0.787211327751868,0.828510423105018,0.673821430578187,0.788054166432545
"Gaidropsarus",0.925774006855088,0.995898185087374,0.925774006855088,0.925774006855088,0.779232454908131,0.756869135247514,0.972972972972973,0.851604202955554,0.851997527673203,0.657807495645333,0.662471203011743,0.662471203011743,0.737371467101197,0.737371467101197,0.775973478676181,0.733831544642355,0.972972972972973,0.853402258807664,0.943754565376187,0.867730516379165,0.943754565376187,0.853402258807664,0.800022475698151,0.657526549418441,0.663201663201663,0.784570433219082,0.995898185087374,0.873630387143901,0.799460583244367,0,0.873630387143901,0.853402258807664,0.925774006855088,0.711805360454009,0.858346912400966,0.779232454908131,0.929875821767714
"Gastropoda",0.757599595437433,0.758891948081137,0.757599595437433,0.757599595437433,0.816823060066303,0.882227341686801,0.735966735966736,0.711580603472495,0.728381187840647,0.729785918975108,0.794572118896443,0.794572118896443,0.794572118896443,0.794572118896443,0.812946002135191,0.75411586222397,0.804798561555318,0.65505422262179,0.634376580322526,0.645614429398213,0.561049615103669,0.651514300162949,0.747766477496207,0.641681182221723,0.820924874978929,0.841771085014328,0.82772377366972,0.632129010507389,0.589649941001292,0.873630387143901,0,0.721638478395235,0.757599595437433,0.861381131651402,0.802157667022532,0.747991234477721,0.689329662302635
"Sedentary Polychaete",0.669213912457156,0.67050626510086,0.669213912457156,0.669213912457156,0.623194920492218,0.74731696353318,0.647581052986458,0.695566668539642,0.754677754677755,0.574422655503737,0.879586447154015,0.879586447154015,0.879586447154015,0.879586447154015,0.897960330392763,0.807214699106591,0.716412878575041,0.813395516098219,0.733044895207057,0.876327470922066,0.791762656627522,0.882227341686801,0.905152553801203,0.69382480193291,0.905939203236501,0.9267854132719,0.662920716974771,0.790470303983817,0.747991234477721,0.853402258807664,0.721638478395235,0,0.669213912457156,0.667752992077316,0.713771984042254,0.554363094903635,0.673315727369781
"Celleporella hyalina",0.498960498960499,0.706467382143058,0.636343203910771,0.636343203910771,0.695566668539642,0.759004326571894,0.683542170028656,0.602011574984548,0.790638871719953,0.792043602854414,0.786031353598921,0.84671573860763,0.786031353598921,0.786031353598921,0.804405236837669,0.879586447154015,0.622857785019947,0.849356633140417,0.769006012249255,0.782772377366972,0.82772377366972,0.788672248131708,0.811597460246109,0.835028375568916,0.873068494690116,0.833230319716806,0.706467382143058,0.696915210428724,0.783952351519919,0.925774006855088,0.757599595437433,0.669213912457156,0,0.679440355116031,0.620216890487161,0.695566668539642,0.579760633814688
"Aplidium pallidum",0.679440355116031,0.810248918357027,0.74012474012474,0.74012474012474,0.593583188177783,0.757543406192055,0.787323706242625,0.605270551216497,0.894420407933921,0.678597516435354,0.77782772377367,0.838512108782379,0.77782772377367,0.77782772377367,0.908186773051638,0.766140360734955,0.726639321233916,0.841153003315166,0.872787548463224,0.886553913580941,0.931505309883688,0.780468618306456,0.915378996460078,0.833567455189077,0.764342304882845,0.825026689891555,0.810248918357027,0.800696746642693,0.787211327751868,0.711805360454009,0.861381131651402,0.667752992077316,0.679440355116031,0,0.612013260661909,0.516884868236219,0.683542170028657
"Mya arenaria",0.620216890487161,0.751025453728156,0.605382929707254,0.605382929707254,0.74012474012474,0.803562398156993,0.652581895825139,0.646569646569647,0.835196943305051,0.724616508400292,0.7186042591448,0.779288644153509,0.7186042591448,0.7186042591448,0.848963308422768,0.812159352699893,0.59189751081643,0.781929538686295,0.813564083834354,0.827330448952071,0.872281845254818,0.721245153677586,0.856155531831208,0.879586447154015,0.805641400235995,0.765803225262685,0.751025453728156,0.741473282013823,0.828510423105018,0.858346912400966,0.802157667022532,0.713771984042254,0.620216890487161,0.612013260661909,0,0.74012474012474,0.624318705399787
"Dendrodoa carnea",0.695566668539642,0.696859021183345,0.695566668539642,0.695566668539642,0.549025116592684,0.773669719615666,0.673933809068944,0.621396864640108,0.78103051076024,0.677192785300893,0.905939203236501,0.905939203236501,0.905939203236501,0.905939203236501,0.924313086475249,0.833567455189077,0.742765634657527,0.839748272180705,0.759397651289543,0.902680227004551,0.818115412710007,0.908580097769287,0.931505309883688,0.720177558015396,0.831769399336967,0.953138169354386,0.765690846771928,0.816823060066303,0.673821430578187,0.779232454908131,0.747991234477721,0.554363094903635,0.695566668539642,0.516884868236219,0.74012474012474,0,0.699668483452267
"Crepidula fornicata",0.579760633814688,0.710569197055684,0.640445018823397,0.640445018823397,0.699668483452267,0.76310614148452,0.687643984941282,0.53374164184975,0.794740686632579,0.796145417767039,0.790133168511547,0.850817553520256,0.790133168511547,0.790133168511547,0.808507051750295,0.88368826206664,0.626959599932573,0.853458448053043,0.700736079114457,0.714502444232174,0.759453840534922,0.72040231499691,0.743327527111311,0.766758442434118,0.877170309602742,0.837332134629432,0.710569197055684,0.70101702534135,0.788054166432545,0.929875821767714,0.689329662302635,0.673315727369781,0.579760633814688,0.683542170028657,0.624318705399787,0.699668483452267,0
