"","Semibalanus balanoides","Mytilus edulis","Metridium dianthus","Dynamena pumila","Modiolus modiolus","Cryptosula pallasiana","Schizoporella unicornis","Diadumene lineata","Anomia simplex","Halichondria panicea","Botrylloides violaceus","Hiatella arctica","Membranipora membranacea","Electra pilosa","Botryllus schlosseri","Testudinalia testudinalis","Amphipoda","Annelida","Asterias forbesi","Asterias rubens","Cancer borealis","Cancer irroratus","Carcinus maenus","Crepidula fornicata","Small worm","Hemigrapsus sanguineus","Henricia sanguinolenta","Isopoda","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Nudibranchia","Ophiopholis aculeata","Pagurus acadianus","Spirorbis","Strongylocentrotus droebachiensis","Boreochiton ruber"
"Cancer borealis",0.924189551408486,0.852172153947302,0.803621099479088,0.90234157689779,0.852172153947302,0.793506296464876,0.793506296464876,0.812117534011025,0.90234157689779,0.898953117888029,0.924088403378344,0.843675719415364,0.818641581955191,0.793506296464876,0.905628887877409,0.811965811965812,0.704900622060385,0.781368532847823,0.600869873059222,0.659535730541648,0,0.450311030192687,0.595256157386335,0.797400495625348,0.756233247357508,0.52561573863349,0.66924594143529,0.703636271683609,0.869569615131745,0.836039043139635,0.869569615131745,0.719415364385779,0.742527689273251,0.757497597734284,0.677995246042583,0.576594345825115,0.924189551408486,0.738886360188135,0.816011733171496
"Cancer irroratus",0.924189551408486,0.852172153947302,0.803621099479088,0.90234157689779,0.852172153947302,0.793506296464876,0.793506296464876,0.812117534011025,0.90234157689779,0.898953117888029,0.924088403378344,0.843675719415364,0.818641581955191,0.793506296464876,0.905628887877409,0.811965811965812,0.704900622060385,0.781368532847823,0.600869873059222,0.659535730541648,0.450311030192687,0,0.595256157386335,0.797400495625348,0.756233247357508,0.52561573863349,0.66924594143529,0.703636271683609,0.869569615131745,0.836039043139635,0.869569615131745,0.719415364385779,0.742527689273251,0.757497597734284,0.677995246042583,0.576594345825115,0.924189551408486,0.738886360188135,0.816011733171496
"Carcinus maenus",0.845294087897638,0.887422242451828,0.724725635968239,0.823446113386942,0.887422242451828,0.828756384969403,0.828756384969403,0.847367622515552,0.823446113386942,0.934203206392555,0.85975825620796,0.764780255904516,0.754311434784808,0.828756384969403,0.841298740707025,0.847215900470338,0.626005158549537,0.82673342436656,0.74581500025287,0.804480857735296,0.595256157386335,0.595256157386335,0,0.832650584129874,0.901178374551156,0.456835078136853,0.814191068628938,0.734435846861882,0.790674151620897,0.657563343953876,0.790674151620897,0.750214939564052,0.663632225762403,0.792747686238811,0.822940373236231,0.607393921003388,0.845294087897638,0.774136448692662,0.851261821676023
"Crepidula fornicata",0.725484246194305,0.653466848733121,0.775299651039296,0.703636271683609,0.653466848733121,0.594800991250695,0.594800991250695,0.783796085571233,0.703636271683609,0.700247812673848,0.725383098164163,0.644970414201183,0.61993627674101,0.594800991250695,0.706923582663228,0.539574166793102,0.80948768522733,0.807515298639559,0.797400495625348,0.856066353107773,0.797400495625348,0.797400495625348,0.832650584129874,0,0.884387801547565,0.872705204066151,0.695392707227027,0.860921458554595,0.712335002275831,0.735497901178375,0.769028473170485,0.72856926111364,0.755676933191726,0.770646841652759,0.874525868608709,0.847569918575836,0.725484246194305,0.712031558185404,0.789156931168765
"Small worm",0.952510999848278,0.880493602387094,0.856976685379052,0.930663025337581,0.880493602387094,0.880493602387094,0.880493602387094,0.806807262428564,0.930663025337581,0.8252667779295,0.850402063419815,0.930663025337581,0.905628887877409,0.880493602387094,0.831942547918879,0.898953117888029,0.87604308906084,0.707682192889293,0.756233247357508,0.679512466494715,0.756233247357508,0.756233247357508,0.901178374551156,0.884387801547565,0,0.831537955798311,0.756233247357508,0.731957720123401,0.897891063571537,0.848581398877257,0.823446113386942,0.731957720123401,0.897891063571537,0.752187326151823,0.774692762858443,0.806402670307996,0.952510999848278,0.751428715925757,0.769888231426693
"Hemigrapsus sanguineus",0.885348707833915,0.927476862388105,0.764780255904516,0.863500733323219,0.927476862388105,0.868811004905679,0.868811004905679,0.887422242451828,0.863500733323219,0.974257826328832,0.899812876144237,0.804834875840793,0.794366054721084,0.868811004905679,0.881353360643301,0.887270520406615,0.666059778485814,0.757093005613716,0.676174581500025,0.734840438982451,0.52561573863349,0.52561573863349,0.456835078136853,0.872705204066151,0.831537955798311,0,0.744550649876094,0.664795428109038,0.830728771557174,0.697617963890153,0.830728771557174,0.680574520811207,0.70368684569868,0.832802306175087,0.753299954483386,0.537753502250544,0.885348707833915,0.814191068628938,0.8913164416123
"Henricia sanguinolenta",0.822181763010165,0.750164365548981,0.871997167855156,0.800333788499469,0.750164365548981,0.691498508066555,0.691498508066555,0.880493602387094,0.800333788499469,0.796945329489708,0.822080614980023,0.741667931017043,0.716633793556871,0.691498508066555,0.803621099479088,0.709958023567491,0.791028169726395,0.679360744449502,0.592778030647853,0.651443888130279,0.66924594143529,0.66924594143529,0.814191068628938,0.695392707227027,0.756233247357508,0.744550649876094,0,0.732766904364538,0.767561826733424,0.790724725635968,0.824255297628079,0.674101046882112,0.81090375764932,0.825873666110353,0.746371314418652,0.719415364385779,0.822181763010165,0.693572042684469,0.77069741566783
"Isopoda",0.744095483740454,0.857027259394123,0.866686896272695,0.722247509229758,0.857027259394123,0.857027259394123,0.857027259394123,0.859859404238102,0.722247509229758,0.903808223334851,0.928943508825166,0.793051130329237,0.882162544884438,0.857027259394123,0.91048399332423,0.875486774895059,0.638496940272088,0.715420017195165,0.778081221868204,0.778081221868204,0.703636271683609,0.703636271683609,0.734435846861882,0.860921458554595,0.731957720123401,0.664795428109038,0.732766904364538,0,0.689475547463713,0.710969503868912,0.615030597279118,0.594345825115056,0.805593486066859,0.805239467961361,0.79654073736914,0.639660142618723,0.814899104839933,0.727962372932787,0.675618267334244
"Lacuna vincta",0.572244980529004,0.782127143073889,0.848480250847115,0.647347392909523,0.782127143073889,0.782127143073889,0.782127143073889,0.841652758812522,0.647347392909523,0.828908107014616,0.854043392504931,0.718151014009002,0.807262428564204,0.782127143073889,0.835583877003995,0.726900318616295,0.638041774136449,0.750214939564052,0.869569615131745,0.869569615131745,0.869569615131745,0.869569615131745,0.790674151620897,0.712335002275831,0.897891063571537,0.830728771557174,0.767561826733424,0.689475547463713,0,0.596571081778182,0.500632175188388,0.686592828604663,0.616750113791534,0.713346482577252,0.888029130632681,0.805593486066859,0.643048601628483,0.784200677691802,0.731856572093258
"Littorina littorea",0.724877358013453,0.863955899458858,0.814949678855004,0.799979770393972,0.863955899458858,0.805290041976433,0.805290041976433,0.937591665402316,0.799979770393972,0.910736863399585,0.83629191321499,0.741313912911546,0.730845091791837,0.805290041976433,0.817832397714054,0.750063217518839,0.790674151620897,0.80326708137359,0.836039043139635,0.89470490062206,0.836039043139635,0.836039043139635,0.657563343953876,0.735497901178375,0.848581398877257,0.697617963890153,0.790724725635968,0.710969503868912,0.596571081778182,0,0.522126131593587,0.578617306427957,0.583219541799423,0.809285389167046,0.913164416122996,0.772062914074748,0.724877358013453,0.676225155515096,0.753350528498458
"Littorina obtusata",0.628938451423658,0.838820613968543,0.848480250847115,0.704040863804177,0.838820613968543,0.838820613968543,0.838820613968543,0.841652758812522,0.704040863804177,0.88560157790927,0.910736863399585,0.774844484903657,0.863955899458858,0.838820613968543,0.89227734789865,0.783593789510949,0.694735245031103,0.806908410458706,0.869569615131745,0.869569615131745,0.869569615131745,0.869569615131745,0.790674151620897,0.769028473170485,0.823446113386942,0.830728771557174,0.824255297628079,0.615030597279118,0.500632175188388,0.522126131593587,0,0.612147878420068,0.616750113791534,0.713346482577252,0.888029130632681,0.805593486066859,0.699742072523138,0.709755727507207,0.657411621908663
"Littorina saxatilis",0.814899104839933,0.857027259394123,0.80802103879027,0.793051130329237,0.857027259394123,0.798361401911698,0.798361401911698,0.930663025337581,0.793051130329237,0.903808223334851,0.928943508825166,0.734385272846811,0.823496687402013,0.798361401911698,0.91048399332423,0.743134577454104,0.783745511556162,0.786223638294644,0.719415364385779,0.778081221868204,0.719415364385779,0.719415364385779,0.750214939564052,0.72856926111364,0.731957720123401,0.680574520811207,0.674101046882112,0.594345825115056,0.686592828604663,0.578617306427957,0.612147878420068,0,0.673241288625904,0.802356749102311,0.79654073736914,0.655439235320892,0.814899104839933,0.669296515450362,0.746421888433723
"Nucella lapillus",0.745056390026804,0.88413493147221,0.646335912608102,0.820158802407323,0.88413493147221,0.825469073989784,0.825469073989784,0.768977899155414,0.820158802407323,0.930915895412937,0.956051180903252,0.761492944924898,0.850604359480099,0.825469073989784,0.937591665402316,0.77024224953219,0.697162797754514,0.923026349061852,0.667425276892732,0.726091134375158,0.742527689273251,0.742527689273251,0.663632225762403,0.755676933191726,0.897891063571537,0.70368684569868,0.81090375764932,0.805593486066859,0.616750113791534,0.583219541799423,0.616750113791534,0.673241288625904,0,0.640671622920144,0.819653062256612,0.678551560208365,0.745056390026804,0.770849137713043,0.847974510696404
"Nudibranchia",0.841652758812522,0.840438982450817,0.673443584686188,0.819804784301826,0.840438982450817,0.840438982450817,0.840438982450817,0.552470540636221,0.819804784301826,0.785212157993223,0.810347443483538,0.890608405401305,0.865574267941132,0.840438982450817,0.791887927982603,0.785212157993223,0.696808779649016,0.706518990542659,0.682395185353765,0.682395185353765,0.757497597734284,0.757497597734284,0.792747686238811,0.770646841652759,0.752187326151823,0.832802306175087,0.825873666110353,0.805239467961361,0.713346482577252,0.809285389167046,0.713346482577252,0.802356749102311,0.640671622920144,0,0.77595711323522,0.807667020684772,0.912456379912001,0.785819046174076,0.733474940575532
"Ophiopholis aculeata",0.942649066909422,0.795529257067719,0.880746472462449,0.920801092398726,0.795529257067719,0.870631669448237,0.870631669448237,0.830577049511961,0.920801092398726,0.74819197896121,0.773327264451525,0.920801092398726,0.895766954938553,0.870631669448237,0.848985990997825,0.794972942901937,0.797805087745916,0.799828048348758,0.677995246042583,0.677995246042583,0.677995246042583,0.677995246042583,0.822940373236231,0.874525868608709,0.774692762858443,0.753299954483386,0.746371314418652,0.79654073736914,0.888029130632681,0.913164416122996,0.888029130632681,0.79654073736914,0.819653062256612,0.77595711323522,0,0.651443888130279,0.942649066909422,0.739290952308704,0.740353006625196
"Pagurus acadianus",0.8602134223436,0.90234157689779,0.739644970414201,0.838365447832903,0.90234157689779,0.843675719415364,0.843675719415364,0.862286956961513,0.838365447832903,0.949122540838517,0.974257826328832,0.779699590350478,0.868811004905679,0.843675719415364,0.955798310827897,0.8621352349163,0.640924492995499,0.831537955798311,0.65103929600971,0.709705153492136,0.576594345825115,0.576594345825115,0.607393921003388,0.847569918575836,0.806402670307996,0.537753502250544,0.719415364385779,0.639660142618723,0.805593486066859,0.772062914074748,0.805593486066859,0.655439235320892,0.678551560208365,0.807667020684772,0.651443888130279,0,0.8602134223436,0.789055783138623,0.866181156121985
"Spirorbis",0.582511505588429,0.721590047033834,0.78794315480706,0.657613917968948,0.721590047033834,0.721590047033834,0.721590047033834,0.851919283871947,0.657613917968948,0.768371010974561,0.793506296464876,0.657613917968948,0.746725332524149,0.721590047033834,0.775046780963941,0.74004956253477,0.763465331512669,0.798917716077479,0.924189551408486,0.924189551408486,0.924189551408486,0.924189551408486,0.845294087897638,0.725484246194305,0.952510999848278,0.885348707833915,0.822181763010165,0.814899104839933,0.643048601628483,0.724877358013453,0.699742072523138,0.814899104839933,0.745056390026804,0.912456379912001,0.942649066909422,0.8602134223436,0,0.838820613968543,0.857280129469479
"Strongylocentrotus droebachiensis",0.838820613968543,0.766803216507358,0.831942547918879,0.816972639457846,0.766803216507358,0.708137359024933,0.708137359024933,0.840438982450817,0.816972639457846,0.813584180448086,0.838719465938401,0.758306781975421,0.733272644515248,0.708137359024933,0.820259950437465,0.726596874525869,0.807667020684772,0.805694634097001,0.738886360188135,0.797552217670561,0.738886360188135,0.738886360188135,0.774136448692662,0.712031558185404,0.751428715925757,0.814191068628938,0.693572042684469,0.727962372932787,0.784200677691802,0.676225155515096,0.709755727507207,0.669296515450362,0.770849137713043,0.785819046174076,0.739290952308704,0.789055783138623,0.838820613968543,0,0.656197845546958
"Boreochiton ruber",0.786476508369999,0.785262732008294,0.90906792090224,0.764628533859303,0.785262732008294,0.785262732008294,0.785262732008294,0.788094876852273,0.764628533859303,0.737925453901785,0.7630607393921,0.835432154958782,0.810398017498609,0.785262732008294,0.838719465938401,0.709604005461994,0.755322915086229,0.753350528498458,0.816011733171496,0.816011733171496,0.816011733171496,0.816011733171496,0.851261821676023,0.789156931168765,0.769888231426693,0.8913164416123,0.77069741566783,0.675618267334244,0.731856572093258,0.753350528498458,0.657411621908663,0.746421888433723,0.847974510696404,0.733474940575532,0.740353006625196,0.866181156121985,0.857280129469479,0.656197845546958,0
