who,species,synonym,phylum,group,common_name_division,common_name_division_bgr,turf_subcanopy_canopy_algae,steneck_dethier_morphology_algae,body_size_lower_cm,adult_body_size_upper_cm,body_size_avg_marlin,body_size_avg_bin,morphology1,morphology2,dietary_pref,dietary_pref_c,trophic_level,motility_juv,motility_adult,habitat_type,benthic,pelagic,epibiotic,invasive,human_use,thermal_lower_c,thermal_upper_c,thermal_details,area,intertidal,subtidal,notes,Source,Wikipedia
,Diadumene lineata,,Cnidaria,Invertebrate,Anemone,Anemone,NA,NA,,3,small,small,soft,soft,predator,predator,secondary consumer,motile,sessile,"benthic, attached to oysters",yes,no,yes,,,,,,shared,yes,yes,,,
Alexis,Semibalanus balanoides,,Arthropoda,Invertebrate,Barnacle,Barnacle,NA,NA,1,2,small,small,calcareous,calcareous,Suspension feeder,filter-suspension,primary consumer ,motile,sessile,epifaunal,no,no,yes,no,,-14.6,34.9,LT50,intertidal,yes,no,,,
Ellen,Ostrea edulis,,Mollusca,Invertebrate,Bivalve,Bivalve,NA,NA,3,10,small-medium,small-medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epifaunal,no,no,yes,yes,,,,,shared,yes,yes,,BIOTIC/marlin,
Jen,Anomia simplex,,Mollusca,Invertebrate,Bivalve,Bivalve,NA,NA,1,5,small,small,calcareous,calcareous,Suspension feeder,filter-suspension,primary consumer ,motile,sessile,epilithic,yes,no,yes,no,,,,,intertidal,yes,no,very sensitive to disturbsnce,"WoRMS,",
Jen,Hiatella arctica,,Mollusca,Invertebrate,Bivalve,Bivalve,NA,NA,3,5,small-medium,small-medium,calcareous,calcareous,Suspension feeder,filter-suspension,primary consumer ,motile,sessile,"epilithic, ephizoic, rock-boring",yes,no,yes,no,,,,,intertidal,yes,no,"bore into rock, very sensotive to disturbance",Marlin,
Ellen,Modiolus modiolus,,Mollusca,Invertebrate,Bivalve,Bivalve,NA,NA,11,20,medium,medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,"epifaunal, infaunal, epibenthic, epilithic",yes,no,yes,no,,,,,shared,yes,yes,,,
Ellen,Mytilus edulis,,Mollusca,Invertebrate,Bivalve,Bivalve,NA,NA,11,20,medium,medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epilithic,yes,no,yes,no,,-8.2,30.5,LT50,shared,yes,yes,,,
Kate,Placopecten magellanicus,,Mollusca,Invertebrate,Bivalve,Bivalve,NA,NA,,20,medium,medium,calcareous,calcareous,Suspension feeder,filter-suspension,primary consumer ,motile,sessile,benthic,yes,no,yes,no,food,,,,subtidal,no,yes,,worms,
,Mya arenaria,,Mollusca,Invertebrate,Bivalve,Bivalve,NA,NA,,10,small-medium,small-medium,calcareous,calcareous,Suspension feeder,filter-suspension,primary consumer ,motile,sessile,benthic,yes,no,no,no,,,,,shared,yes,yes,,,
Kate,Bugulina spicata,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,0.2,20,small,small-medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic,yes,no,yes,yes,no,,,,subtidal,no,yes,,worms,
